Item name  Item PLU  Date  Number Sold  Cost Price   Retail Price  Profit on Item
*********************************************************************************
Asparagus   4521   2020-04-22   1.45   0.99   1.49   1.17
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   1.4   0.59   0.77   0.49
Bananas   4011   2020-04-22   23.0   0.59   0.77   17.12
Bananas   4011   2020-04-22   11.0   0.59   0.77   7.88
Bananas   4011   2020-04-23   1.0   0.59   0.77   0.18
Bananas   4011   2020-04-27   1.45   0.59   0.77   0.53
Green Cabbage   4554   2020-04-22   1.0   1.99   2.49   0.5
Green Cabbage   4554   2020-04-22   1.0   1.99   2.49   0.5
Green Cabbage   4554   2020-04-22   1.0   1.99   2.49   0.5
Green Cabbage   4554   2020-04-22   1.0   1.99   2.49   0.5
Red Cabbage   4556   2020-04-22   1.0   1.99   2.49   0.5
Red Cabbage   4556   2020-04-22   1.0   1.99   2.49   0.5
Red Cabbage   4556   2020-04-22   1.0   1.99   2.49   0.5

